Time [s], II
0,0.4803
0.008,0.49015
0.016,0.5
0.024,0.50493
0.032,0.51478
0.04,0.52956
0.048,0.54557
0.056,0.56034
0.064,0.57512
0.072,0.59975
0.08,0.61946
0.088,0.64039
0.096,0.6601
0.104,0.67488
0.112,0.68473
0.12,0.69458
0.128,0.68473
0.136,0.66995
0.144,0.64532
0.152,0.60468
0.16,0.56527
0.168,0.52463
0.176,0.49507
0.184,0.46552
0.192,0.44458
0.2,0.4298
0.208,0.41995
0.216,0.4101
0.224,0.4101
0.232,0.4101
0.24,0.4101
0.248,0.4101
0.256,0.4101
0.264,0.4101
0.272,0.41502
0.28,0.41995
0.288,0.42488
0.296,0.4298
0.304,0.43473
0.312,0.43473
0.32,0.43473
0.328,0.43473
0.336,0.43473
0.344,0.43473
0.352,0.43473
0.36,0.43966
0.368,0.43966
0.376,0.43473
0.384,0.43473
0.392,0.43473
0.4,0.43966
0.408,0.43966
0.416,0.44458
0.424,0.45443
0.432,0.47044
0.44,0.47537
0.448,0.49507
0.456,0.5197
0.464,0.52956
0.472,0.52956
0.48,0.52463
0.488,0.51478
0.496,0.49015
0.504,0.46059
0.512,0.43473
0.52,0.41995
0.528,0.4101
0.536,0.4101
0.544,0.4101
0.552,0.4101
0.56,0.4101
0.568,0.41502
0.576,0.42488
0.584,0.46552
0.592,0.56527
0.6,0.74015
0.608,0.85961
0.616,0.78448
0.624,0.5899
0.632,0.44951
0.64,0.40517
0.648,0.4101
0.656,0.41502
0.664,0.41502
0.672,0.41502
0.68,0.41995
0.688,0.41995
0.696,0.42488
0.704,0.4298
0.712,0.43473
0.72,0.43966
0.728,0.44458
0.736,0.45443
0.744,0.46059
0.752,0.46552
0.76,0.47537
0.768,0.4803
0.776,0.48522
0.784,0.49507
0.792,0.50493
0.8,0.51478
0.808,0.52463
0.816,0.53941
0.824,0.54557
0.832,0.56527
0.84,0.58498
0.848,0.60468
0.856,0.63054
0.864,0.65025
0.872,0.66995
0.88,0.68473
0.888,0.68966
0.896,0.69458
0.904,0.68473
0.912,0.66995
0.92,0.64039
0.928,0.59975
0.936,0.56034
0.944,0.5197
0.952,0.49015
0.96,0.46059
0.968,0.44458
0.976,0.4298
0.984,0.41995
0.992,0.41502
1,0.4101
1.008,0.4101
1.016,0.4101
1.024,0.4101
1.032,0.41502
1.04,0.41995
1.048,0.41995
1.056,0.41995
1.064,0.42488
1.072,0.4298
1.08,0.43473
1.088,0.43473
1.096,0.43473
1.104,0.43473
1.112,0.43473
1.12,0.43473
1.128,0.43473
1.136,0.43473
1.144,0.43473
1.152,0.43473
1.16,0.43473
1.168,0.43473
1.176,0.43473
1.184,0.43966
1.192,0.44951
1.2,0.46059
1.208,0.47537
1.216,0.4803
1.224,0.5
1.232,0.52463
1.24,0.52956
1.248,0.52463
1.256,0.5197
1.264,0.5
1.272,0.47537
1.28,0.44458
1.288,0.42488
1.296,0.41502
1.304,0.4101
1.312,0.40517
1.32,0.40517
1.328,0.40517
1.336,0.4101
1.344,0.41502
1.352,0.43473
1.36,0.4803
1.368,0.59975
1.376,0.77463
1.384,0.85961
1.392,0.73522
1.4,0.53941
1.408,0.42488
1.416,0.40025
1.424,0.4101
1.432,0.41502
1.44,0.41502
1.448,0.41502
1.456,0.41995
1.464,0.41995
1.472,0.42488
1.48,0.4298
1.488,0.43966
1.496,0.43966
1.504,0.44458
1.512,0.44951
1.52,0.46059
1.528,0.46552
1.536,0.47537
1.544,0.4803
1.552,0.48522
1.56,0.49507
1.568,0.50493
1.576,0.51478
1.584,0.52463
1.592,0.53448
1.6,0.55049
1.608,0.56527
1.616,0.58498
1.624,0.60961
1.632,0.63054
1.64,0.65025
1.648,0.66995
1.656,0.68473
1.664,0.68966
1.672,0.69458
1.68,0.6798
1.688,0.65517
1.696,0.62438
1.704,0.58498
1.712,0.55049
1.72,0.50985
1.728,0.47537
1.736,0.44951
1.744,0.43473
1.752,0.41995
1.76,0.41502
1.768,0.4101
1.776,0.40517
1.784,0.40517
1.792,0.40517
1.8,0.4101
1.808,0.4101
1.816,0.4101
1.824,0.41502
1.832,0.41995
1.84,0.42488
1.848,0.4298
1.856,0.4298
1.864,0.4298
1.872,0.4298
1.88,0.4298
1.888,0.4298
1.896,0.4298
1.904,0.4298
1.912,0.4298
1.92,0.4298
1.928,0.4298
1.936,0.4298
1.944,0.4298
1.952,0.4298
1.96,0.4298
1.968,0.43966
1.976,0.45443
1.984,0.46552
1.992,0.47537
2,0.5
2.008,0.5197
2.016,0.52956
2.024,0.52463
2.032,0.51478
2.04,0.49507
2.048,0.47044
2.056,0.44458
2.064,0.41995
2.072,0.41502
2.08,0.4101
2.088,0.4101
2.096,0.4101
2.104,0.4101
2.112,0.41502
2.12,0.42488
2.128,0.45443
2.136,0.5197
2.144,0.66995
2.152,0.84975
2.16,0.90025
2.168,0.7303
2.176,0.52956
2.184,0.42488
2.192,0.4101
2.2,0.41502
2.208,0.41995
2.216,0.41995
2.224,0.41995
2.232,0.42488
2.24,0.4298
2.248,0.4298
2.256,0.43473
2.264,0.43473
2.272,0.44458
2.28,0.44951
2.288,0.46059
2.296,0.46552
2.304,0.47537
2.312,0.4803
2.32,0.48522
2.328,0.49507
2.336,0.50493
2.344,0.51478
2.352,0.52463
2.36,0.53941
2.368,0.55542
2.376,0.5702
2.384,0.5899
2.392,0.60961
2.4,0.63547
2.408,0.6601
2.416,0.6798
2.424,0.69458
2.432,0.70443
2.44,0.71552
2.448,0.70443
2.456,0.68966
2.464,0.66502
2.472,0.62438
2.48,0.58498
2.488,0.54557
2.496,0.50985
2.504,0.47537
2.512,0.45443
2.52,0.43473
2.528,0.42488
2.536,0.41502
2.544,0.41502
2.552,0.4101
2.56,0.4101
2.568,0.41502
2.576,0.41502
2.584,0.41995
2.592,0.41995
2.6,0.41995
2.608,0.4298
2.616,0.4298
2.624,0.43473
2.632,0.43473
2.64,0.43473
2.648,0.43473
2.656,0.43966
2.664,0.43966
2.672,0.43966
2.68,0.43966
2.688,0.43966
2.696,0.43966
2.704,0.43966
2.712,0.43966
2.72,0.43966
2.728,0.43966
2.736,0.43966
2.744,0.45443
2.752,0.46552
2.76,0.47537
2.768,0.48522
2.776,0.50985
2.784,0.52463
2.792,0.52956
2.8,0.52463
2.808,0.5197
2.816,0.5
2.824,0.47537
2.832,0.44458
2.84,0.42488
2.848,0.41502
2.856,0.4101
2.864,0.4101
2.872,0.4101
2.88,0.4101
2.888,0.41502
2.896,0.42488
2.904,0.45443
2.912,0.52463
2.92,0.6798
2.928,0.84483
2.936,0.88054
2.944,0.6798
2.952,0.5
2.96,0.41502
2.968,0.40517
2.976,0.41502
2.984,0.41995
2.992,0.41995
3,0.41995
3.008,0.42488
3.016,0.42488
3.024,0.43473
3.032,0.43966
3.04,0.44458
3.048,0.44951
3.056,0.44951
3.064,0.45443
3.072,0.46552
3.08,0.47537
3.088,0.4803
3.096,0.48522
3.104,0.49507
3.112,0.5
3.12,0.51478
3.128,0.5197
3.136,0.52956
3.144,0.54557
3.152,0.56034
3.16,0.58005
3.168,0.59975
3.176,0.61946
3.184,0.64039
3.192,0.6601
3.2,0.67488
3.208,0.68966
3.216,0.69458
3.224,0.69458
3.232,0.6798
3.24,0.65025
3.248,0.61453
3.256,0.5702
3.264,0.53448
3.272,0.5
3.28,0.47044
3.288,0.44458
3.296,0.4298
3.304,0.41995
3.312,0.41502
3.32,0.4101
3.328,0.4101
3.336,0.4101
3.344,0.4101
3.352,0.4101
3.36,0.41502
3.368,0.41995
3.376,0.41995
3.384,0.42488
3.392,0.4298
3.4,0.4298
3.408,0.43473
3.416,0.43473
3.424,0.43966
3.432,0.43473
3.44,0.43473
3.448,0.43966
3.456,0.43966
3.464,0.43473
3.472,0.43473
3.48,0.43966
3.488,0.43966
3.496,0.43966
3.504,0.43966
3.512,0.44458
3.52,0.45443
3.528,0.46552
3.536,0.47537
3.544,0.49015
3.552,0.5197
3.56,0.53448
3.568,0.53941
3.576,0.52463
3.584,0.51478
3.592,0.49507
3.6,0.46552
3.608,0.43473
3.616,0.41995
3.624,0.41502
3.632,0.4101
3.64,0.4101
3.648,0.4101
3.656,0.4101
3.664,0.4101
3.672,0.42488
3.68,0.46059
3.688,0.54557
3.696,0.70936
3.704,0.85961
3.712,0.86946
3.72,0.62438
3.728,0.46552
3.736,0.40517
3.744,0.40025
3.752,0.41502
3.76,0.41502
3.768,0.41995
3.776,0.41995
3.784,0.42488
3.792,0.4298
3.8,0.4298
3.808,0.43473
3.816,0.43473
3.824,0.43966
3.832,0.44951
3.84,0.45443
3.848,0.46552
3.856,0.47537
3.864,0.4803
3.872,0.48522
3.88,0.49015
3.888,0.5
3.896,0.50493
3.904,0.5197
3.912,0.52956
3.92,0.54557
3.928,0.56034
3.936,0.58005
3.944,0.60468
3.952,0.62438
3.96,0.65025
3.968,0.66995
3.976,0.68473
3.984,0.69458
3.992,0.69458
4,0.68473
4.008,0.66995
4.016,0.64039
4.024,0.59975
4.032,0.56034
4.04,0.52463
4.048,0.49507
4.056,0.46059
4.064,0.43966
4.072,0.42488
4.08,0.41502
4.088,0.4101
4.096,0.4101
4.104,0.4101
4.112,0.40517
4.12,0.4101
4.128,0.4101
4.136,0.4101
4.144,0.41502
4.152,0.41995
4.16,0.41995
4.168,0.42488
4.176,0.4298
4.184,0.43473
4.192,0.43473
4.2,0.43473
4.208,0.43473
4.216,0.43473
4.224,0.43473
4.232,0.43966
4.24,0.43966
4.248,0.43966
4.256,0.43966
4.264,0.43966
4.272,0.43966
4.28,0.43966
4.288,0.44458
4.296,0.46059
4.304,0.47537
4.312,0.48522
4.32,0.5
4.328,0.52463
4.336,0.53941
4.344,0.52956
4.352,0.52956
4.36,0.51478
4.368,0.49507
4.376,0.46552
4.384,0.43966
4.392,0.42488
4.4,0.41995
4.408,0.41502
4.416,0.4101
4.424,0.41502
4.432,0.41502
4.44,0.41502
4.448,0.4298
4.456,0.46552
4.464,0.56034
4.472,0.72537
4.48,0.85468
4.488,0.79557
4.496,0.59975
4.504,0.44951
4.512,0.40517
4.52,0.4101
4.528,0.41502
4.536,0.41502
4.544,0.41502
4.552,0.41995
4.56,0.42488
4.568,0.4298
4.576,0.43473
4.584,0.43473
4.592,0.43966
4.6,0.44951
4.608,0.45443
4.616,0.45443
4.624,0.46059
4.632,0.46552
4.64,0.47537
4.648,0.4803
4.656,0.49015
4.664,0.5
4.672,0.50985
4.68,0.5197
4.688,0.52956
4.696,0.53941
4.704,0.56034
4.712,0.58005
4.72,0.60468
4.728,0.62438
4.736,0.65025
4.744,0.66502
4.752,0.6798
4.76,0.68966
4.768,0.69458
4.776,0.68473
4.784,0.66502
4.792,0.64039
4.8,0.59975
4.808,0.56034
4.816,0.5197
4.824,0.48522
4.832,0.46059
4.84,0.43966
4.848,0.4298
4.856,0.41502
4.864,0.4101
4.872,0.4101
4.88,0.40517
4.888,0.4101
4.896,0.4101
4.904,0.4101
4.912,0.4101
4.92,0.41502
4.928,0.41995
4.936,0.42488
4.944,0.4298
4.952,0.4298
4.96,0.4298
4.968,0.43473
4.976,0.43473
4.984,0.43473
4.992,0.43473
5,0.43473
5.008,0.43473
5.016,0.43473
5.024,0.43473
5.032,0.4298
5.04,0.4298
5.048,0.4298
5.056,0.43473
5.064,0.43473
5.072,0.43966
5.08,0.45443
5.088,0.46552
5.096,0.47537
5.104,0.49507
5.112,0.51478
5.12,0.5197
5.128,0.51478
5.136,0.50493
5.144,0.5
5.152,0.47537
5.16,0.44458
5.168,0.41995
5.176,0.41502
5.184,0.4101
5.192,0.4101
5.2,0.4101
5.208,0.4101
5.216,0.4101
5.224,0.41995
5.232,0.44951
5.24,0.51478
5.248,0.6601
5.256,0.84975
5.264,0.9101
5.272,0.75
5.28,0.54557
5.288,0.4298
5.296,0.4101
5.304,0.41502
5.312,0.41502
5.32,0.41995
5.328,0.41995
5.336,0.41995
5.344,0.4298
5.352,0.43473
5.36,0.43966
5.368,0.43966
5.376,0.44458
5.384,0.45443
5.392,0.46059
5.4,0.47044
5.408,0.47537
5.416,0.4803
5.424,0.48522
5.432,0.49507
5.44,0.50493
5.448,0.51478
5.456,0.5197
5.464,0.52956
5.472,0.54557
5.48,0.56034
5.488,0.58005
5.496,0.59975
5.504,0.61946
5.512,0.64532
5.52,0.66502
5.528,0.68473
5.536,0.69951
5.544,0.70443
5.552,0.70443
5.56,0.68473
5.568,0.66502
5.576,0.62438
5.584,0.58498
5.592,0.54557
5.6,0.50493
5.608,0.47044
5.616,0.44458
5.624,0.4298
5.632,0.41502
5.64,0.4101
5.648,0.40025
5.656,0.40025
5.664,0.40025
5.672,0.40025
5.68,0.40517
5.688,0.4101
5.696,0.4101
5.704,0.41502
5.712,0.41995
5.72,0.42488
5.728,0.4298
5.736,0.4298
5.744,0.4298
5.752,0.4298
5.76,0.4298
5.768,0.4298
5.776,0.4298
5.784,0.4298
5.792,0.4298
5.8,0.4298
5.808,0.42488
5.816,0.42488
5.824,0.42488
5.832,0.42488
5.84,0.42488
5.848,0.43473
5.856,0.44951
5.864,0.46552
5.872,0.47044
5.88,0.49015
5.888,0.51478
5.896,0.5197
5.904,0.5197
5.912,0.51478
5.92,0.5
5.928,0.47044
5.936,0.44458
5.944,0.41502
5.952,0.4101
5.96,0.40517
5.968,0.40025
5.976,0.40025
5.984,0.40517
5.992,0.40517
6,0.41502
6.008,0.4298
6.016,0.48522
6.024,0.60961
6.032,0.78448
6.04,0.86453
6.048,0.74015
6.056,0.53941
6.064,0.42488
6.072,0.40025
6.08,0.4101
6.088,0.41502
6.096,0.41502
6.104,0.41502
6.112,0.41995
6.12,0.41995
6.128,0.42488
6.136,0.4298
6.144,0.43473
6.152,0.43473
6.16,0.43966
6.168,0.44951
6.176,0.46059
6.184,0.46552
6.192,0.47044
6.2,0.4803
6.208,0.48522
6.216,0.49507
6.224,0.5
6.232,0.50985
6.24,0.5197
6.248,0.53448
6.256,0.55049
6.264,0.56527
6.272,0.58498
6.28,0.60468
6.288,0.62438
6.296,0.64532
6.304,0.66502
6.312,0.67488
6.32,0.68473
6.328,0.68473
6.336,0.67488
6.344,0.65025
6.352,0.61946
6.36,0.58498
6.368,0.54557
6.376,0.50493
6.384,0.47044
6.392,0.44458
6.4,0.4298
6.408,0.41502
6.416,0.4101
6.424,0.40517
6.432,0.40025
6.44,0.40025
6.448,0.40025
6.456,0.40025
6.464,0.40025
6.472,0.40517
6.48,0.4101
6.488,0.41502
6.496,0.41995
6.504,0.42488
6.512,0.42488
6.52,0.42488
6.528,0.4298
6.536,0.4298
6.544,0.4298
6.552,0.4298
6.56,0.43473
6.568,0.43473
6.576,0.43473
6.584,0.43473
6.592,0.4298
6.6,0.4298
6.608,0.4298
6.616,0.4298
6.624,0.43966
6.632,0.45443
6.64,0.46552
6.648,0.47537
6.656,0.49507
6.664,0.51478
6.672,0.52956
6.68,0.52463
6.688,0.5197
6.696,0.5
6.704,0.47537
6.712,0.44951
6.72,0.42488
6.728,0.4101
6.736,0.40517
6.744,0.40025
6.752,0.40025
6.76,0.40517
6.768,0.40517
6.776,0.4101
6.784,0.42488
6.792,0.46552
6.8,0.5702
6.808,0.74507
6.816,0.85961
6.824,0.7697
6.832,0.5702
6.84,0.43966
6.848,0.40025
6.856,0.40517
6.864,0.4101
6.872,0.41502
6.88,0.41502
6.888,0.41502
6.896,0.41995
6.904,0.4298
6.912,0.4298
6.92,0.43473
6.928,0.43966
6.936,0.44951
6.944,0.45443
6.952,0.45443
6.96,0.46059
6.968,0.47044
6.976,0.47537
6.984,0.4803
6.992,0.48522
7,0.49507
7.008,0.50493
7.016,0.51478
7.024,0.52463
7.032,0.53941
7.04,0.55542
7.048,0.58005
7.056,0.59975
7.064,0.62438
7.072,0.64532
7.08,0.65517
7.088,0.67488
7.096,0.68473
7.104,0.68473
7.112,0.67488
7.12,0.65517
7.128,0.62438
7.136,0.58498
7.144,0.54557
7.152,0.51478
7.16,0.4803
7.168,0.45443
7.176,0.43473
7.184,0.41995
7.192,0.4101
7.2,0.40517
7.208,0.40025
7.216,0.40025
7.224,0.40025
7.232,0.40517
7.24,0.4101
7.248,0.41502
7.256,0.41502
7.264,0.41995
7.272,0.41995
7.28,0.42488
7.288,0.4298
7.296,0.4298
7.304,0.4298
7.312,0.4298
7.32,0.43473
7.328,0.43473
7.336,0.4298
7.344,0.4298
7.352,0.4298
7.36,0.4298
7.368,0.4298
7.376,0.4298
7.384,0.4298
7.392,0.4298
7.4,0.43473
7.408,0.44951
7.416,0.46552
7.424,0.47537
7.432,0.48522
7.44,0.50985
7.448,0.52463
7.456,0.5197
7.464,0.51478
7.472,0.5
7.48,0.4803
7.488,0.45443
7.496,0.4298
7.504,0.41502
7.512,0.40517
7.52,0.40025
7.528,0.40517
7.536,0.40517
7.544,0.4101
7.552,0.4101
7.56,0.42488
7.568,0.44951
7.576,0.52463
7.584,0.67488
7.592,0.83498
7.6,0.85961
7.608,0.65025
7.616,0.47537
7.624,0.4101
7.632,0.40025
7.64,0.4101
7.648,0.41502
7.656,0.41502
7.664,0.41502
7.672,0.41995
7.68,0.42488
7.688,0.4298
7.696,0.4298
7.704,0.43966
7.712,0.44458
7.72,0.44951
7.728,0.45443
7.736,0.46059
7.744,0.46552
7.752,0.47537
7.76,0.48522
7.768,0.49015
7.776,0.5
7.784,0.50493
7.792,0.5197
7.8,0.52956
7.808,0.53941
7.816,0.55542
7.824,0.57512
7.832,0.59975
7.84,0.61946
7.848,0.64039
7.856,0.65517
7.864,0.67488
7.872,0.68473
7.88,0.69458
7.888,0.68473
7.896,0.66995
7.904,0.64532
7.912,0.60961
7.92,0.5702
7.928,0.52956
7.936,0.49507
7.944,0.46552
7.952,0.43966
7.96,0.4298
7.968,0.41502
7.976,0.4101
7.984,0.40025
7.992,0.40025
8,0.40025
8.008,0.40025
8.016,0.40517
8.024,0.4101
8.032,0.41502
8.04,0.41502
8.048,0.41995
8.056,0.42488
8.064,0.4298
8.072,0.4298
8.08,0.4298
8.088,0.43473
8.096,0.4298
8.104,0.4298
8.112,0.4298
8.12,0.43473
8.128,0.43473
8.136,0.4298
8.144,0.4298
8.152,0.4298
8.16,0.4298
8.168,0.4298
8.176,0.43473
8.184,0.44951
8.192,0.46059
8.2,0.47537
8.208,0.48522
8.216,0.50493
8.224,0.5197
8.232,0.52463
8.24,0.51478
8.248,0.50985
8.256,0.49507
8.264,0.47044
8.272,0.43473
8.28,0.41995
8.288,0.41502
8.296,0.4101
8.304,0.4101
8.312,0.40517
8.32,0.4101
8.328,0.41502
8.336,0.4298
8.344,0.46059
8.352,0.53941
8.36,0.70443
8.368,0.88054
8.376,0.91502
8.384,0.70443
8.392,0.51478
8.4,0.42488
8.408,0.41502
8.416,0.41995
8.424,0.41995
8.432,0.41995
8.44,0.41995
8.448,0.42488
8.456,0.4298
8.464,0.4298
8.472,0.43473
8.48,0.44458
8.488,0.45443
8.496,0.46059
8.504,0.46552
8.512,0.46552
8.52,0.47537
8.528,0.4803
8.536,0.49015
8.544,0.5
8.552,0.50493
8.56,0.51478
8.568,0.52956
8.576,0.53941
8.584,0.55049
8.592,0.5702
8.6,0.5899
8.608,0.60961
8.616,0.63547
8.624,0.65517
8.632,0.67488
8.64,0.69458
8.648,0.70443
8.656,0.71552
8.664,0.70936
8.672,0.68966
8.68,0.66502
8.688,0.62438
8.696,0.58498
8.704,0.54557
8.712,0.50985
8.72,0.47537
8.728,0.45443
8.736,0.43966
8.744,0.4298
8.752,0.41995
8.76,0.41502
8.768,0.41502
8.776,0.41502
8.784,0.41502
8.792,0.41502
8.8,0.41502
8.808,0.41995
8.816,0.42488
8.824,0.4298
8.832,0.43473
8.84,0.43966
8.848,0.43966
8.856,0.44458
8.864,0.44458
8.872,0.44458
8.88,0.44458
8.888,0.43966
8.896,0.44458
8.904,0.44458
8.912,0.44458
8.92,0.43966
8.928,0.43966
8.936,0.43966
8.944,0.43966
8.952,0.43966
8.96,0.44951
8.968,0.46059
8.976,0.4803
8.984,0.49015
8.992,0.50493
9,0.52463
9.008,0.53448
9.016,0.52463
9.024,0.5197
9.032,0.50493
9.04,0.49015
9.048,0.46059
9.056,0.43473
9.064,0.41995
9.072,0.41995
9.08,0.41502
9.088,0.41502
9.096,0.41502
9.104,0.41502
9.112,0.41995
9.12,0.43473
9.128,0.47537
9.136,0.58498
9.144,0.75985
9.152,0.87438
9.16,0.78941
9.168,0.5899
9.176,0.44951
9.184,0.4101
9.192,0.41995
9.2,0.42488
9.208,0.4298
9.216,0.4298
9.224,0.4298
9.232,0.43473
9.24,0.43966
9.248,0.43966
9.256,0.44951
9.264,0.44951
9.272,0.45443
9.28,0.46059
9.288,0.47044
9.296,0.4803
9.304,0.48522
9.312,0.49015
9.32,0.49507
9.328,0.5
9.336,0.50985
9.344,0.5197
9.352,0.52956
9.36,0.54557
9.368,0.56034
9.376,0.57512
9.384,0.59483
9.392,0.61946
9.4,0.64532
9.408,0.66502
9.416,0.6798
9.424,0.69458
9.432,0.69951
9.44,0.70443
9.448,0.69458
9.456,0.67488
9.464,0.64532
9.472,0.60961
9.48,0.56527
9.488,0.52463
9.496,0.49015
9.504,0.46059
9.512,0.43966
9.52,0.4298
9.528,0.41502
9.536,0.4101
9.544,0.4101
9.552,0.40517
9.56,0.4101
9.568,0.4101
9.576,0.41502
9.584,0.41502
9.592,0.41995
9.6,0.41995
9.608,0.4298
9.616,0.4298
9.624,0.4298
9.632,0.43473
9.64,0.43473
9.648,0.43473
9.656,0.43473
