Time [s], ABP
0,44.785
0.008,44.785
0.016,44.98
0.024,44.98
0.032,44.98
0.04,45.176
0.048,45.176
0.056,45.176
0.064,44.98
0.072,44.98
0.08,44.785
0.088,44.785
0.096,44.589
0.104,44.394
0.112,44.198
0.12,44.003
0.128,43.612
0.136,43.416
0.144,43.025
0.152,42.829
0.16,42.438
0.168,41.851
0.176,41.46
0.184,41.069
0.192,40.678
0.2,40.287
0.208,39.896
0.216,39.7
0.224,39.309
0.232,39.309
0.24,39.505
0.248,40.091
0.256,41.46
0.264,44.003
0.272,48.11
0.28,52.999
0.288,58.475
0.296,64.146
0.304,69.035
0.312,73.338
0.32,76.662
0.328,79.009
0.336,80.378
0.344,81.16
0.352,81.16
0.36,80.769
0.368,79.987
0.376,79.009
0.384,77.836
0.392,76.271
0.4,74.511
0.408,72.555
0.416,70.404
0.424,68.057
0.432,65.711
0.44,62.973
0.448,60.43
0.456,57.888
0.464,55.346
0.472,53.194
0.48,50.847
0.488,49.087
0.496,47.523
0.504,46.154
0.512,44.98
0.52,44.198
0.528,43.612
0.536,43.22
0.544,42.829
0.552,42.829
0.56,42.829
0.568,42.829
0.576,42.829
0.584,43.025
0.592,43.22
0.6,43.416
0.608,43.612
0.616,43.807
0.624,44.003
0.632,44.198
0.64,44.198
0.648,44.198
0.656,44.198
0.664,44.394
0.672,44.394
0.68,44.394
0.688,44.198
0.696,44.198
0.704,44.198
0.712,44.003
0.72,43.807
0.728,43.612
0.736,43.416
0.744,43.22
0.752,43.025
0.76,42.829
0.768,42.438
0.776,42.243
0.784,41.851
0.792,41.656
0.8,41.265
0.808,40.874
0.816,40.482
0.824,40.091
0.832,39.505
0.84,39.113
0.848,38.722
0.856,38.527
0.864,38.331
0.872,38.331
0.88,38.527
0.888,39.309
0.896,40.874
0.904,43.807
0.912,47.914
0.92,52.999
0.928,58.279
0.936,63.755
0.944,68.644
0.952,72.947
0.96,76.076
0.968,78.422
0.976,79.791
0.984,80.574
0.992,80.574
1,79.987
1.008,79.205
1.016,78.227
1.024,76.662
1.032,75.098
1.04,73.142
1.048,70.991
1.056,68.84
1.064,66.297
1.072,63.755
1.08,61.213
1.088,58.475
1.096,55.932
1.104,53.39
1.112,51.043
1.12,48.892
1.128,46.936
1.136,45.372
1.144,44.198
1.152,43.22
1.16,42.438
1.168,42.047
1.176,41.656
1.184,41.46
1.192,41.46
1.2,41.656
1.208,41.851
1.216,42.047
1.224,42.243
1.232,42.634
1.24,42.829
1.248,43.025
1.256,43.22
1.264,43.416
1.272,43.612
1.28,43.612
1.288,43.807
1.296,43.807
1.304,43.807
1.312,43.807
1.32,43.807
1.328,43.807
1.336,43.612
1.344,43.612
1.352,43.416
1.36,43.22
1.368,43.22
1.376,43.025
1.384,42.829
1.392,42.634
1.4,42.438
1.408,42.243
1.416,42.047
1.424,41.656
1.432,41.265
1.44,40.874
1.448,40.482
1.456,40.091
1.464,39.7
1.472,39.309
1.48,38.918
1.488,38.722
1.496,38.527
1.504,38.527
1.512,38.527
1.52,39.309
1.528,40.678
1.536,43.22
1.544,47.132
1.552,52.021
1.56,57.692
1.568,63.364
1.576,68.84
1.584,73.533
1.592,77.445
1.6,80.378
1.608,82.334
1.616,83.312
1.624,83.507
1.632,83.116
1.64,82.334
1.648,81.16
1.656,79.791
1.664,78.031
1.672,76.271
1.68,74.316
1.688,72.164
1.696,69.622
1.704,67.275
1.712,64.537
1.72,61.995
1.728,59.452
1.736,56.91
1.744,54.368
1.752,52.216
1.76,50.065
1.768,48.305
1.776,46.936
1.784,45.763
1.792,44.785
1.8,44.198
1.808,43.807
1.816,43.416
1.824,43.416
1.832,43.22
1.84,43.416
1.848,43.416
1.856,43.612
1.864,44.003
1.872,44.198
1.88,44.394
1.888,44.589
1.896,44.785
1.904,44.98
1.912,45.176
1.92,45.176
1.928,45.176
1.936,45.176
1.944,45.176
1.952,45.176
1.96,45.176
1.968,45.176
1.976,45.176
1.984,44.98
1.992,44.785
2,44.785
2.008,44.589
2.016,44.394
2.024,44.198
2.032,44.003
2.04,43.612
2.048,43.416
2.056,43.025
2.064,42.829
2.072,42.438
2.08,42.047
2.088,41.656
2.096,41.265
2.104,40.678
2.112,40.287
2.12,40.091
2.128,39.7
2.136,39.505
2.144,39.309
2.152,39.505
2.16,40.482
2.168,42.634
2.176,45.958
2.184,50.652
2.192,56.519
2.2,62.582
2.208,68.449
2.216,73.533
2.224,77.64
2.232,80.769
2.24,82.725
2.248,83.898
2.256,84.289
2.264,84.094
2.272,83.507
2.28,82.529
2.288,81.356
2.296,79.987
2.304,78.422
2.312,76.662
2.32,74.707
2.328,72.36
2.336,70.013
2.344,67.471
2.352,64.928
2.36,62.386
2.368,59.648
2.376,57.106
2.384,54.759
2.392,52.412
2.4,50.456
2.408,48.696
2.416,47.327
2.424,46.154
2.432,45.176
2.44,44.589
2.448,44.198
2.456,43.807
2.464,43.612
2.472,43.612
2.48,43.612
2.488,43.807
2.496,44.003
2.504,44.198
2.512,44.589
2.52,44.785
2.528,44.98
2.536,45.176
2.544,45.372
2.552,45.372
2.56,45.567
2.568,45.567
2.576,45.567
2.584,45.567
2.592,45.567
2.6,45.567
2.608,45.567
2.616,45.567
2.624,45.372
2.632,45.372
2.64,45.176
2.648,44.98
2.656,44.785
2.664,44.589
2.672,44.394
2.68,44.198
2.688,43.807
2.696,43.612
2.704,43.22
2.712,43.025
2.72,42.634
2.728,42.243
2.736,41.851
2.744,41.656
2.752,41.265
2.76,40.874
2.768,40.482
2.776,40.287
2.784,39.896
2.792,39.505
2.8,39.113
2.808,38.722
2.816,38.527
2.824,38.136
2.832,37.94
2.84,37.744
2.848,37.549
2.856,37.353
2.864,37.158
2.872,37.158
2.88,36.962
2.888,36.962
2.896,36.962
2.904,36.962
2.912,36.767
2.92,36.767
2.928,36.571
2.936,36.376
2.944,36.376
2.952,36.18
2.96,35.984
2.968,35.984
2.976,35.789
2.984,35.789
2.992,35.789
3,35.789
3.008,35.593
3.016,35.593
3.024,35.398
3.032,35.398
3.04,35.398
3.048,35.202
3.056,35.202
3.064,35.007
3.072,34.811
3.08,34.811
3.088,34.615
3.096,34.42
3.104,34.42
3.112,34.224
3.12,34.029
3.128,34.029
3.136,33.833
3.144,33.833
3.152,33.833
3.16,33.638
3.168,33.638
3.176,33.638
3.184,33.442
3.192,33.442
3.2,33.246
3.208,33.246
3.216,33.246
3.224,33.051
3.232,33.051
3.24,33.051
3.248,32.855
3.256,32.855
3.264,32.855
3.272,32.855
3.28,32.855
3.288,32.855
3.296,32.66
3.304,32.66
3.312,32.464
3.32,32.464
3.328,32.464
3.336,32.464
3.344,32.269
3.352,32.269
3.36,32.073
3.368,31.877
3.376,31.877
3.384,31.682
3.392,31.486
3.4,31.486
3.408,31.291
3.416,31.291
3.424,31.682
3.432,32.855
3.44,35.789
3.448,40.874
3.456,47.914
3.464,56.323
3.472,64.537
3.48,71.773
3.488,77.64
3.496,81.747
3.504,84.485
3.512,85.854
3.52,86.441
3.528,86.245
3.536,85.854
3.544,84.876
3.552,83.703
3.56,82.334
3.568,80.574
3.576,78.814
3.584,76.858
3.592,74.902
3.6,72.751
3.608,70.404
3.616,68.057
3.624,65.711
3.632,62.973
3.64,60.43
3.648,58.083
3.656,55.541
3.664,53.194
3.672,51.043
3.68,49.283
3.688,47.523
3.696,46.154
3.704,44.98
3.712,44.198
3.72,43.612
3.728,43.22
3.736,43.025
3.744,43.025
3.752,43.025
3.76,43.025
3.768,43.025
3.776,43.22
3.784,43.416
3.792,43.807
3.8,44.003
3.808,44.198
3.816,44.394
3.824,44.589
3.832,44.589
3.84,44.785
3.848,44.785
3.856,44.785
3.864,44.785
3.872,44.785
3.88,44.785
3.888,44.589
3.896,44.589
3.904,44.589
3.912,44.394
3.92,44.198
3.928,44.003
3.936,43.807
3.944,43.416
3.952,43.22
3.96,43.025
3.968,42.829
3.976,42.438
3.984,42.047
3.992,41.851
4,41.46
4.008,41.069
4.016,40.678
4.024,40.091
4.032,39.896
4.04,39.505
4.048,39.113
4.056,38.722
4.064,38.527
4.072,38.527
4.08,38.918
4.088,39.896
4.096,41.656
4.104,44.785
4.112,48.892
4.12,53.585
4.128,58.475
4.136,63.168
4.144,67.471
4.152,70.795
4.16,73.338
4.168,75.098
4.176,76.076
4.184,76.467
4.192,76.467
4.2,75.88
4.208,75.098
4.216,73.924
4.224,72.555
4.232,70.991
4.24,69.231
4.248,67.275
4.256,65.319
4.264,62.973
4.272,60.626
4.28,58.279
4.288,55.932
4.296,53.585
4.304,51.434
4.312,49.479
4.32,47.523
4.328,45.958
4.336,44.589
4.344,43.416
4.352,42.438
4.36,41.656
4.368,41.265
4.376,40.678
4.384,40.482
4.392,40.287
4.4,40.287
4.408,40.287
4.416,40.287
4.424,40.482
4.432,40.482
4.44,40.678
4.448,40.874
4.456,41.069
4.464,41.265
4.472,41.265
4.48,41.46
4.488,41.46
4.496,41.46
4.504,41.46
4.512,41.46
4.52,41.656
4.528,41.656
4.536,41.46
4.544,41.46
4.552,41.46
4.56,41.265
4.568,41.069
4.576,41.069
4.584,40.874
4.592,40.482
4.6,40.287
4.608,40.091
4.616,39.896
4.624,39.7
4.632,39.309
4.64,38.918
4.648,38.527
4.656,38.136
4.664,37.744
4.672,37.353
4.68,37.158
4.688,36.767
4.696,36.571
4.704,36.376
4.712,36.18
4.72,36.571
4.728,37.353
4.736,39.113
4.744,42.047
4.752,46.545
4.76,51.825
4.768,57.301
4.776,62.973
4.784,67.666
4.792,71.773
4.8,74.902
4.808,77.054
4.816,78.227
4.824,78.814
4.832,78.618
4.84,78.031
4.848,77.054
4.856,75.88
4.864,74.316
4.872,72.751
4.88,70.795
4.888,68.84
4.896,66.688
4.904,64.342
4.912,61.799
4.92,59.452
4.928,56.91
4.936,54.563
4.944,52.216
4.952,49.87
4.96,47.718
4.968,45.958
4.976,44.394
4.984,43.025
4.992,42.047
5,41.265
5.008,40.678
5.016,40.482
5.024,40.091
5.032,40.091
5.04,40.091
5.048,40.287
5.056,40.482
5.064,40.678
5.072,40.874
5.08,41.265
5.088,41.46
5.096,41.656
5.104,41.851
5.112,41.851
5.12,42.047
5.128,42.047
5.136,42.047
5.144,42.047
5.152,42.243
5.16,42.243
5.168,42.243
5.176,42.047
5.184,42.047
5.192,42.047
5.2,42.047
5.208,42.047
5.216,42.047
5.224,41.851
5.232,41.851
5.24,41.851
5.248,41.656
5.256,41.656
5.264,41.46
5.272,41.265
5.28,40.874
5.288,40.678
5.296,40.482
5.304,40.091
5.312,39.896
5.32,39.7
5.328,39.505
5.336,39.309
5.344,39.309
5.352,39.309
5.36,39.7
5.368,40.678
5.376,42.634
5.384,45.763
5.392,49.87
5.4,54.759
5.408,60.039
5.416,65.124
5.424,69.426
5.432,73.142
5.44,75.88
5.448,77.836
5.456,78.814
5.464,79.205
5.472,79.009
5.48,78.422
5.488,77.445
5.496,76.271
5.504,75.098
5.512,73.533
5.52,71.773
5.528,69.818
5.536,67.666
5.544,65.515
5.552,63.168
5.56,60.821
5.568,58.279
5.576,56.128
5.584,53.781
5.592,51.63
5.6,49.674
5.608,47.914
5.616,46.349
5.624,45.176
5.632,44.198
5.64,43.416
5.648,42.829
5.656,42.438
5.664,42.243
5.672,42.047
5.68,42.047
5.688,42.047
5.696,42.047
5.704,42.243
5.712,42.438
5.72,42.438
5.728,42.634
5.736,42.829
5.744,43.025
5.752,43.025
5.76,43.025
5.768,43.025
5.776,43.025
5.784,43.025
5.792,43.025
5.8,43.025
5.808,43.025
5.816,43.025
5.824,43.025
5.832,43.025
5.84,43.025
5.848,42.829
5.856,42.829
5.864,42.634
5.872,42.438
5.88,42.243
5.888,42.047
5.896,41.851
5.904,41.656
5.912,41.46
5.92,41.069
5.928,40.678
5.936,40.287
5.944,40.091
5.952,39.7
5.96,39.309
5.968,38.918
5.976,38.527
5.984,38.331
5.992,38.136
6,37.94
6.008,38.527
6.016,39.7
6.024,42.438
6.032,46.349
6.04,51.63
6.048,57.497
6.056,63.364
6.064,68.644
6.072,73.142
6.08,76.662
6.088,78.814
6.096,80.183
6.104,80.965
6.112,80.965
6.12,80.574
6.128,79.791
