Time [s], PLETH
0,0.67253
0.008,0.69892
0.016,0.72336
0.024,0.74291
0.032,0.75758
0.04,0.76833
0.048,0.77419
0.056,0.77517
0.064,0.77126
0.072,0.76442
0.08,0.75367
0.088,0.73998
0.096,0.72239
0.104,0.70186
0.112,0.67937
0.12,0.65591
0.128,0.6305
0.136,0.60606
0.144,0.58162
0.152,0.55718
0.16,0.53568
0.168,0.51613
0.176,0.49951
0.184,0.48192
0.192,0.46432
0.2,0.44868
0.208,0.435
0.216,0.42229
0.224,0.41251
0.232,0.40469
0.24,0.39785
0.248,0.39198
0.256,0.38807
0.264,0.38514
0.272,0.38319
0.28,0.38221
0.288,0.38025
0.296,0.37928
0.304,0.37732
0.312,0.37634
0.32,0.37537
0.328,0.37439
0.336,0.37341
0.344,0.37243
0.352,0.37048
0.36,0.37048
0.368,0.37048
0.376,0.3695
0.384,0.36852
0.392,0.36559
0.4,0.36266
0.408,0.35973
0.416,0.35679
0.424,0.35288
0.432,0.34897
0.44,0.34604
0.448,0.34311
0.456,0.3392
0.464,0.33627
0.472,0.33333
0.48,0.3304
0.488,0.32551
0.496,0.3216
0.504,0.31867
0.512,0.31574
0.52,0.31574
0.528,0.31769
0.536,0.32454
0.544,0.33529
0.552,0.35093
0.56,0.36755
0.568,0.38807
0.576,0.41544
0.584,0.44673
0.592,0.48289
0.6,0.52004
0.608,0.55816
0.616,0.59531
0.624,0.61877
0.632,0.63245
0.64,0.652
0.648,0.67253
0.656,0.69013
0.664,0.70283
0.672,0.70968
0.68,0.71554
0.688,0.71848
0.696,0.71848
0.704,0.71359
0.712,0.70479
0.72,0.69306
0.728,0.67742
0.736,0.65787
0.744,0.63636
0.752,0.6129
0.76,0.5914
0.768,0.56989
0.776,0.54741
0.784,0.52297
0.792,0.49951
0.8,0.47703
0.808,0.45552
0.816,0.435
0.824,0.41642
0.832,0.3998
0.84,0.38514
0.848,0.37146
0.856,0.35973
0.864,0.35093
0.872,0.34409
0.88,0.33822
0.888,0.33236
0.896,0.32845
0.904,0.32649
0.912,0.32454
0.92,0.32258
0.928,0.3216
0.936,0.32063
0.944,0.31867
0.952,0.31769
0.96,0.31672
0.968,0.31672
0.976,0.31574
0.984,0.31378
0.992,0.31183
1,0.30987
1.008,0.30694
1.016,0.30401
1.024,0.3001
1.032,0.29717
1.04,0.29326
1.048,0.28935
1.056,0.28446
1.064,0.28055
1.072,0.27761
1.08,0.2737
1.088,0.26979
1.096,0.26491
1.104,0.26002
1.112,0.25611
1.12,0.25122
1.128,0.24731
1.136,0.24242
1.144,0.23851
1.152,0.23558
1.16,0.23558
1.168,0.23851
1.176,0.24438
1.184,0.25513
1.192,0.27175
1.2,0.29326
1.208,0.32063
1.216,0.35191
1.224,0.38612
1.232,0.42229
1.24,0.45943
1.248,0.49658
1.256,0.53275
1.264,0.56207
1.272,0.58749
1.28,0.61193
1.288,0.63539
1.296,0.65494
1.304,0.67155
1.312,0.68426
1.32,0.69208
1.328,0.69501
1.336,0.69306
1.344,0.68719
1.352,0.67742
1.36,0.66471
1.368,0.65005
1.376,0.6305
1.384,0.60802
1.392,0.58358
1.4,0.55816
1.408,0.53275
1.416,0.50635
1.424,0.48094
1.432,0.45552
1.44,0.43304
1.448,0.41056
1.456,0.39101
1.464,0.37439
1.472,0.36168
1.48,0.348
1.488,0.33627
1.496,0.32649
1.504,0.31867
1.512,0.31183
1.52,0.30792
1.528,0.30401
1.536,0.30108
1.544,0.29814
1.552,0.29619
1.56,0.29423
1.568,0.29326
1.576,0.29228
1.584,0.29032
1.592,0.28935
1.6,0.28837
1.608,0.28739
1.616,0.28543
1.624,0.28348
1.632,0.28152
1.64,0.27957
1.648,0.27761
1.656,0.27468
1.664,0.2737
1.672,0.27273
1.68,0.27077
1.688,0.26784
1.696,0.26393
1.704,0.26002
1.712,0.25611
1.72,0.25122
1.728,0.24633
1.736,0.24145
1.744,0.23656
1.752,0.23167
1.76,0.22874
1.768,0.22678
1.776,0.22483
1.784,0.2219
1.792,0.2219
1.8,0.22385
1.808,0.22972
1.816,0.24047
1.824,0.25806
1.832,0.28152
1.84,0.31085
1.848,0.34506
1.856,0.38319
1.864,0.41935
1.872,0.45259
1.88,0.49071
1.888,0.52981
1.896,0.56696
1.904,0.60313
1.912,0.63539
1.92,0.66373
1.928,0.68622
1.936,0.70479
1.944,0.71848
1.952,0.72727
1.96,0.73021
1.968,0.72923
1.976,0.7263
1.984,0.71945
1.992,0.70772
2,0.69306
2.008,0.67351
2.016,0.652
2.024,0.62952
2.032,0.60411
2.04,0.57869
2.048,0.55425
2.056,0.53177
2.064,0.51124
2.072,0.48876
2.08,0.46725
2.088,0.44673
2.096,0.42717
2.104,0.40958
2.112,0.39394
2.12,0.38123
2.128,0.37146
2.136,0.36364
2.144,0.35777
2.152,0.35386
2.16,0.35191
2.168,0.35191
2.176,0.35093
2.184,0.35093
2.192,0.35093
2.2,0.35191
2.208,0.35191
2.216,0.35191
2.224,0.35288
2.232,0.35386
2.24,0.35484
2.248,0.35582
2.256,0.35679
2.264,0.35777
2.272,0.35777
2.28,0.35777
2.288,0.35777
2.296,0.35777
2.304,0.35679
2.312,0.35582
2.32,0.35386
2.328,0.35191
2.336,0.34897
2.344,0.34604
2.352,0.34311
2.36,0.34018
2.368,0.33724
2.376,0.33333
2.384,0.32845
2.392,0.32356
2.4,0.31867
2.408,0.31378
2.416,0.3089
2.424,0.30596
2.432,0.30401
2.44,0.30694
2.448,0.31476
2.456,0.32454
2.464,0.33822
2.472,0.35973
2.48,0.38807
2.488,0.42131
2.496,0.45846
2.504,0.49853
2.512,0.53959
2.52,0.57967
2.528,0.61779
2.536,0.65298
2.544,0.68524
2.552,0.71457
2.56,0.73509
2.568,0.74976
2.576,0.76442
2.584,0.77517
2.592,0.78299
2.6,0.78592
2.608,0.78495
2.616,0.77908
2.624,0.76931
2.632,0.75562
2.64,0.739
2.648,0.71848
2.656,0.69795
2.664,0.67644
2.672,0.64809
2.68,0.61681
2.688,0.58847
2.696,0.56305
2.704,0.53959
2.712,0.51711
2.72,0.49462
2.728,0.4741
2.736,0.45455
2.744,0.43793
2.752,0.42326
2.76,0.41251
2.768,0.40469
2.776,0.39687
2.784,0.38905
2.792,0.38319
2.8,0.3783
2.808,0.37439
2.816,0.37048
2.824,0.36852
2.832,0.36657
2.84,0.36461
2.848,0.36364
2.856,0.36266
2.864,0.36168
2.872,0.35973
2.88,0.35777
2.888,0.35582
2.896,0.35386
2.904,0.35191
2.912,0.34995
2.92,0.348
2.928,0.34604
2.936,0.34409
2.944,0.34213
2.952,0.34115
2.96,0.34018
2.968,0.33822
2.976,0.33627
2.984,0.33333
2.992,0.32942
3,0.32454
3.008,0.31965
3.016,0.31476
3.024,0.31085
3.032,0.30694
3.04,0.30401
3.048,0.30205
3.056,0.3001
3.064,0.29912
3.072,0.29619
3.08,0.29326
3.088,0.29032
3.096,0.28641
3.104,0.2825
3.112,0.27957
3.12,0.27664
3.128,0.27468
3.136,0.27273
3.144,0.27175
3.152,0.27077
3.16,0.26979
3.168,0.26979
3.176,0.26979
3.184,0.26882
3.192,0.26882
3.2,0.26882
3.208,0.26784
3.216,0.26686
3.224,0.26588
3.232,0.26491
3.24,0.26491
3.248,0.26491
3.256,0.26588
3.264,0.26784
3.272,0.26882
3.28,0.26979
3.288,0.27077
3.296,0.27077
3.304,0.27175
3.312,0.27175
3.32,0.27175
3.328,0.27273
3.336,0.2737
3.344,0.2737
3.352,0.27273
3.36,0.27273
3.368,0.27273
3.376,0.27273
3.384,0.27175
3.392,0.27077
3.4,0.26979
3.408,0.26979
3.416,0.26979
3.424,0.26979
3.432,0.26979
3.44,0.26882
3.448,0.26784
3.456,0.26784
3.464,0.26784
3.472,0.26784
3.48,0.26686
3.488,0.26588
3.496,0.26588
3.504,0.26588
3.512,0.26588
3.52,0.26686
3.528,0.26686
3.536,0.26686
3.544,0.26686
3.552,0.26686
3.56,0.26784
3.568,0.26882
3.576,0.26882
3.584,0.26882
3.592,0.26784
3.6,0.26882
3.608,0.26979
3.616,0.27077
3.624,0.27175
3.632,0.2737
3.64,0.27468
3.648,0.27566
3.656,0.27664
3.664,0.27761
3.672,0.27761
3.68,0.27761
3.688,0.27761
3.696,0.27761
3.704,0.27957
3.712,0.28446
3.72,0.29423
3.728,0.3089
3.736,0.3304
3.744,0.35875
3.752,0.39198
3.76,0.42424
3.768,0.4565
3.776,0.4956
3.784,0.53763
3.792,0.58065
3.8,0.62268
3.808,0.66276
3.816,0.70088
3.824,0.73607
3.832,0.76735
3.84,0.79374
3.848,0.81623
3.856,0.83089
3.864,0.84066
3.872,0.84848
3.88,0.85337
3.888,0.85533
3.896,0.85239
3.904,0.84653
3.912,0.83675
3.92,0.82307
3.928,0.80743
3.936,0.78788
3.944,0.76735
3.952,0.74682
3.96,0.72532
3.968,0.70186
3.976,0.6784
3.984,0.65396
3.992,0.6305
4,0.60704
4.008,0.58553
4.016,0.56403
4.024,0.54545
4.032,0.52884
4.04,0.51417
4.048,0.50049
4.056,0.49071
4.064,0.48192
4.072,0.47507
4.08,0.46823
4.088,0.46334
4.096,0.45943
4.104,0.45552
4.112,0.45161
4.12,0.44868
4.128,0.44575
4.136,0.44282
4.144,0.43988
4.152,0.43793
4.16,0.435
4.168,0.43206
4.176,0.42815
4.184,0.42424
4.192,0.42033
4.2,0.4174
4.208,0.41349
4.216,0.40958
4.224,0.40665
4.232,0.40274
4.24,0.39883
4.248,0.39492
4.256,0.39101
4.264,0.3871
4.272,0.38221
4.28,0.37732
4.288,0.37146
4.296,0.36657
4.304,0.3607
4.312,0.35484
4.32,0.34897
4.328,0.34506
4.336,0.34115
4.344,0.33724
4.352,0.33529
4.36,0.33431
4.368,0.33431
4.376,0.33822
4.384,0.34604
4.392,0.35777
4.4,0.37537
4.408,0.39687
4.416,0.42229
4.424,0.45161
4.432,0.48192
4.44,0.5132
4.448,0.54448
4.456,0.57087
4.464,0.59335
4.472,0.61681
4.48,0.6393
4.488,0.65885
4.496,0.67546
4.504,0.68817
4.512,0.69795
4.52,0.70283
4.528,0.70381
4.536,0.70186
4.544,0.69599
4.552,0.68719
4.56,0.67546
4.568,0.6608
4.576,0.64321
4.584,0.62366
4.592,0.60215
4.6,0.58065
4.608,0.55816
4.616,0.53666
4.624,0.51515
4.632,0.49365
4.64,0.47312
4.648,0.45357
4.656,0.43597
4.664,0.42229
4.672,0.40762
4.68,0.39394
4.688,0.38123
4.696,0.37048
4.704,0.3607
4.712,0.35288
4.72,0.3392
4.728,0.32454
4.736,0.31476
4.744,0.30987
4.752,0.30694
4.76,0.30499
4.768,0.30401
4.776,0.30303
4.784,0.30205
4.792,0.30205
4.8,0.30108
4.808,0.3001
4.816,0.29814
4.824,0.29717
4.832,0.29619
4.84,0.29423
4.848,0.29228
4.856,0.2913
4.864,0.28935
4.872,0.28837
4.88,0.28641
4.888,0.28446
4.896,0.28152
4.904,0.27859
4.912,0.27566
4.92,0.27175
4.928,0.26882
4.936,0.26491
4.944,0.26197
4.952,0.25904
4.96,0.25709
4.968,0.25513
4.976,0.25122
4.984,0.24829
4.992,0.24633
5,0.24536
5.008,0.24633
5.016,0.25122
5.024,0.25806
5.032,0.26979
5.04,0.28641
5.048,0.30694
5.056,0.32649
5.064,0.34702
5.072,0.37243
5.08,0.3998
5.088,0.42815
5.096,0.4565
5.104,0.48289
5.112,0.50831
5.12,0.53177
5.128,0.5523
5.136,0.56891
5.144,0.5826
5.152,0.5914
5.16,0.59531
5.168,0.59824
5.176,0.59922
5.184,0.59629
5.192,0.5914
5.2,0.5826
5.208,0.57185
5.216,0.55718
5.224,0.54154
5.232,0.52297
5.24,0.5044
5.248,0.48387
5.256,0.46628
5.264,0.44966
5.272,0.43206
5.28,0.41447
5.288,0.39589
5.296,0.37928
5.304,0.36364
5.312,0.34995
5.32,0.33822
5.328,0.32747
5.336,0.31965
5.344,0.31281
5.352,0.30792
5.36,0.30499
5.368,0.30303
5.376,0.3001
5.384,0.29814
5.392,0.29717
5.4,0.29619
5.408,0.29521
5.416,0.29423
5.424,0.29326
5.432,0.29228
5.44,0.29228
5.448,0.2913
5.456,0.29032
5.464,0.29032
5.472,0.29032
5.48,0.28935
5.488,0.28837
5.496,0.28739
5.504,0.28739
5.512,0.28739
5.52,0.28739
5.528,0.28739
5.536,0.28739
5.544,0.28739
5.552,0.28739
5.56,0.28739
5.568,0.28641
5.576,0.28446
5.584,0.28348
5.592,0.28152
5.6,0.27957
5.608,0.27859
5.616,0.27664
5.624,0.27468
5.632,0.27468
5.64,0.27566
5.648,0.27859
5.656,0.28446
5.664,0.29228
5.672,0.30401
5.68,0.32063
5.688,0.34115
5.696,0.36461
5.704,0.39003
5.712,0.4174
5.72,0.44575
5.728,0.4741
5.736,0.50049
5.744,0.52493
5.752,0.54545
5.76,0.56109
5.768,0.57869
5.776,0.59335
5.784,0.60508
5.792,0.61486
5.8,0.62072
5.808,0.62268
5.816,0.62268
5.824,0.61877
5.832,0.6129
5.84,0.60313
5.848,0.59335
5.856,0.58162
5.864,0.56794
5.872,0.5523
5.88,0.53568
5.888,0.51808
5.896,0.49951
5.904,0.48192
5.912,0.46432
5.92,0.4477
5.928,0.43304
5.936,0.41838
5.944,0.40567
5.952,0.39492
5.96,0.38612
5.968,0.3783
5.976,0.37048
5.984,0.36364
5.992,0.35777
6,0.35386
6.008,0.34995
6.016,0.34702
6.024,0.34409
6.032,0.34311
6.04,0.34213
6.048,0.34115
6.056,0.34115
6.064,0.34018
6.072,0.3392
6.08,0.33822
6.088,0.33724
6.096,0.33627
6.104,0.33529
6.112,0.33431
6.12,0.33236
6.128,0.33138
6.136,0.3304
6.144,0.32942
6.152,0.32845
6.16,0.32747
6.168,0.32551
6.176,0.32454
6.184,0.32258
6.192,0.32063
6.2,0.31769
6.208,0.31476
6.216,0.31281
6.224,0.30987
6.232,0.30694
6.24,0.30401
6.248,0.30205
6.256,0.29912
6.264,0.29619
6.272,0.29423
6.28,0.29228
6.288,0.2913
6.296,0.29423
6.304,0.3001
6.312,0.31085
6.32,0.32649
6.328,0.34604
6.336,0.3695
6.344,0.39589
6.352,0.42033
6.36,0.44379
6.368,0.47116
6.376,0.49853
6.384,0.52688
6.392,0.5523
6.4,0.57674
6.408,0.59824
6.416,0.61681
6.424,0.63245
6.432,0.64418
6.44,0.652
6.448,0.65494
6.456,0.65494
6.464,0.65298
6.472,0.64809
6.48,0.64027
6.488,0.6305
6.496,0.61779
6.504,0.60313
6.512,0.58651
6.52,0.56794
6.528,0.54839
6.536,0.52884
6.544,0.50929
6.552,0.49169
6.56,0.47605
6.568,0.45943
6.576,0.44379
6.584,0.42815
6.592,0.41349
6.6,0.3998
6.608,0.3871
6.616,0.37634
6.624,0.36657
6.632,0.35875
6.64,0.35191
6.648,0.34702
6.656,0.34311
6.664,0.34018
6.672,0.33822
6.68,0.33627
6.688,0.33431
6.696,0.33236
6.704,0.33138
6.712,0.32942
6.72,0.32845
6.728,0.32747
6.736,0.32649
6.744,0.32551
6.752,0.32454
6.76,0.32356
6.768,0.32747
6.776,0.33431
6.784,0.33627
6.792,0.33627
6.8,0.33431
6.808,0.33236
6.816,0.32942
6.824,0.32551
6.832,0.32258
6.84,0.31867
6.848,0.31574
6.856,0.31281
6.864,0.3089
6.872,0.30499
6.88,0.30108
6.888,0.29619
6.896,0.29228
6.904,0.28837
6.912,0.28348
6.92,0.28055
6.928,0.27859
6.936,0.27957
6.944,0.28348
6.952,0.29032
6.96,0.30108
6.968,0.31672
6.976,0.3392
6.984,0.36559
6.992,0.39492
7,0.42717
7.008,0.46139
7.016,0.4956
7.024,0.52884
7.032,0.56012
7.04,0.58944
7.048,0.61193
7.056,0.63148
7.064,0.65005
7.072,0.66569
7.08,0.67937
7.088,0.68817
7.096,0.69208
7.104,0.69306
7.112,0.68915
7.12,0.68133
7.128,0.67058
7.136,0.65591
7.144,0.6393
7.152,0.62268
7.16,0.60508
7.168,0.58553
7.176,0.565
7.184,0.54252
7.192,0.52004
7.2,0.49756
7.208,0.47507
7.216,0.45455
7.224,0.435
7.232,0.4174
7.24,0.40078
7.248,0.3871
7.256,0.37634
7.264,0.36657
7.272,0.35679
7.28,0.34897
7.288,0.34311
7.296,0.33822
7.304,0.33529
7.312,0.33333
7.32,0.33138
7.328,0.3304
7.336,0.3304
7.344,0.3304
7.352,0.3304
7.36,0.33138
7.368,0.33138
7.376,0.33138
7.384,0.33138
7.392,0.3304
7.4,0.32942
7.408,0.32845
7.416,0.32747
7.424,0.32649
7.432,0.32454
7.44,0.32258
7.448,0.32063
7.456,0.31867
7.464,0.31672
7.472,0.31378
7.48,0.31085
7.488,0.30792
7.496,0.30401
7.504,0.3001
7.512,0.29717
7.52,0.29326
7.528,0.28837
7.536,0.28446
7.544,0.28152
7.552,0.27859
7.56,0.27566
7.568,0.27175
7.576,0.26979
7.584,0.27077
7.592,0.27468
7.6,0.2825
7.608,0.29619
7.616,0.31476
7.624,0.33724
7.632,0.36461
7.64,0.39492
7.648,0.42229
7.656,0.44966
7.664,0.47996
7.672,0.51124
7.68,0.54154
7.688,0.57087
7.696,0.59726
7.704,0.61975
7.712,0.63832
7.72,0.65396
7.728,0.66569
7.736,0.67253
7.744,0.67449
7.752,0.67351
7.76,0.66862
7.768,0.66178
7.776,0.65005
7.784,0.63636
7.792,0.61975
7.8,0.60117
7.808,0.57967
7.816,0.55718
7.824,0.5347
